"Daily Weather Observations for Millendon (Swan Valley), Western Australia for January 2024"
"Prepared at 13:02 UTC on Wednesday  3 April 2024   IDCJDW6005.202401"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Millendon in the Swan Valley, but some from Perth Airport."
"Perth Airport is about 13 km to the south of Millendon."
"Temperature, humidity, wind, pressure and rainfall observations are from Millendon (Swan Valley) {station 009281}"
"Cloud, evaporation and sunshine observations are from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-01-1,17.1,30.9,0,9.0,11.8,WSW,31,14:44,22.7,52,1,S,9,1016.5,29.1,40,5,SSW,17,1014.3
,2024-01-2,17.4,28.9,0,10.0,4.1,SE,39,16:31,22.1,62,7,SE,13,1016.3,28.1,39,7,SE,15,1014.0
,2024-01-3,19.0,32.0,0,5.6,11.3,ESE,44,05:36,23.3,48,3,ESE,15,1019.8,31.4,24,1,ESE,15,1015.8
,2024-01-4,16.2,31.6,0,11.6,13.1,ESE,48,22:35,22.6,44,1,NE,19,1020.8,30.6,27,1,E,11,1016.1
,2024-01-5,16.4,32.3,0,11.0,13.2,E,37,01:11,22.6,50,1,NE,11,1018.8,31.4,26,0,SSE,13,1015.2
,2024-01-6,17.7,34.9,0,6.2,13.1,SW,33,16:49,25.2,48,1,NE,9,1015.9,34.3,24,1,SW,6,1011.3
,2024-01-7,16.9,37.3,0,9.2,12.7,SW,30,17:05,29.9,35,4,NE,7,1013.3,35.4,19,6,E,6,1009.5
,2024-01-8,19.4,39.7,0,12.0,13.1,SSW,39,16:09,31.9,27,1,NNE,11,1010.5,35.4,23,1,SW,20,1007.6
,2024-01-9,17.0,33.6,0,12.4,13.0,WSW,37,13:43,24.8,49,1,SSW,13,1011.4,30.8,42,0,SW,20,1009.5
,2024-01-10,17.3,34.1,0,10.2,13.0,SSW,30,16:30,23.9,47,0,E,7,1013.1,31.4,35,0,SSW,17,1009.3
,2024-01-11,16.9,36.2,0,9.0,12.0,SW,31,14:52,26.8,42,7, ,Calm,1009.8,34.1,34,2,SW,22,1006.4
,2024-01-12,19.7,38.1,0,9.2,13.0,E,43,22:35,25.3,53,1,ESE,11,1009.7,36.2,30,1,SE,7,1005.1
,2024-01-13,23.5,41.2,0,11.0,11.3,E,37,00:19,29.5,43,1,SSE,7,1007.4,40.3,18,7,ESE,7,1003.6
,2024-01-14,21.8,40.0,0,11.2,12.7,NNE,44,10:05,30.5,51,1, ,Calm,1005.1,39.4,22,1,NE,11,1002.8
,2024-01-15,21.2,38.1,0,11.0,12.1,W,30,12:59,28.3,60,0,NW,6,1006.5,34.8,41,1,WSW,13,1003.8
,2024-01-16,20.2,42.7,0,9.0,13.0,N,94,12:46,33.5,40,0, ,Calm,1003.6,37.5,30,3,SSW,9,1002.3
,2024-01-17,25.0,34.4,0,12.0,12.6,NE,39,01:27,30.7,51,1,W,6,1005.1,32.0,49,1,WSW,15,1004.1
,2024-01-18,20.0,28.5,0,10.0,11.0,WSW,39,12:53,26.0,52,2, ,Calm,1008.3,26.3,50,2,SW,20,1007.7
,2024-01-19,18.7,30.4,0,10.2,12.8,SSW,26,14:26,24.3,54,5, ,Calm,1009.4,28.3,48,1, ,Calm,1007.4
,2024-01-20,16.8,37.3,0,7.8,13.1,SW,33,15:53,27.7,44,0, ,Calm,1009.5,34.7,32,0,SW,17,1006.9
,2024-01-21,17.3,33.3,0,9.6,13.1,SSW,39,14:44,26.8,58,1,S,9,1008.5,29.7,45,1,SW,22,1007.0
,2024-01-22,13.4,30.6,0,10.2,13.1,SW,31,14:00,24.0,40,0, ,Calm,1011.8,28.4,39,0, ,Calm,1009.5
,2024-01-23,14.0,30.0,0,9.4,13.0,SW,44,14:57,24.4,42,0, ,Calm,1013.2,28.4,39,0,SW,22,1010.3
,2024-01-24,15.6,31.9,0,8.6,12.9,SW,44,14:29,24.4,49,0, ,Calm,1013.4,28.9,40,1,SW,22,1010.1
,2024-01-25,16.1,32.3,0,10.4,12.6,SSE,44,23:05,22.4,48,1, ,Calm,1015.1,29.5,37,0,SW,24,1011.5
,2024-01-26,16.6,32.0,0,10.6,12.9,SSE,31,00:14,22.4,46,0, ,Calm,1018.9,31.4,21,2,SSE,11,1014.0
,2024-01-27,15.7,36.4,0,8.4,13.0,SW,33,15:19,25.4,35,0, ,Calm,1013.5,35.5,15,0,WNW,7,1007.5
,2024-01-28,13.8,29.4,0,10.0,12.1,SW,37,15:00,22.9,61,7, ,Calm,1011.8,28.4,49,3,SW,20,1010.3
,2024-01-29,15.6,32.3,0,8.8,12.6,SW,35,14:09,22.6,44,1,E,11,1017.2,28.4,40,0,SW,20,1014.2
,2024-01-30,16.1,39.1,0,10.0,12.9,E,46,06:26,25.2,40,0,E,7,1018.3,38.2,17,0,WSW,6,1013.6
,2024-01-31,17.9,43.8,0,11.2,12.9,,,,34.1,25,0,NNE,11,1015.8,43.1,14,1,,,1012.4
