Date;Minimum temperature (°C);Maximum temperature (°C);Rainfall (mm);Evaporation (mm);Sunshine (hours);Direction of maximum wind gust ;Speed of maximum wind gust (km/h);Time of maximum wind gust;9am Temperature (°C);9am relative humidity (%);9am cloud amount (oktas);9am wind direction;9am wind speed (km/h);9am MSL pressure (hPa);3pm Temperature (°C);3pm relative humidity (%);3pm cloud amount (oktas);3pm wind direction;3pm wind speed (km/h);3pm MSL pressure (hPa)
2024-01-1;17.8;27.6;0;;;SSW;46;17:39;21.4;57;;S;11;1017.5;26.6;48;;SW;22;1015.0
2024-01-2;19.0;30.7;0;;;ESE;50;23:00;22.7;56;;SSE;22;1017.3;29.4;37;;SE;19;1015.2
2024-01-3;18.9;31.8;0;;;ESE;48;05:39;22.8;52;;ESE;22;1021.1;30.5;30;;E;20;1017.1
2024-01-4;16.6;32.3;0;;;ESE;41;23:23;22.3;47;;ENE;19;1021.7;31.1;24;;ESE;15;1017.3
2024-01-5;16.8;30.4;0;;;;;;23.6;45;;E;15;1019.7;27.6;51;;WSW;20;1016.4
2024-01-6;18.1;29.7;;;;SW;41;15:48;24.6;50;;ENE;11;1016.8;26.2;57;;SW;22;1013.3
2024-01-7;20.8;33.7;0;;;WSW;31;13:06;27.7;45;;NE;15;1013.7;30.6;48;;SW;17;1011.3
2024-01-8;22.5;34.1;0;;;S;43;22:35;27.5;46;;NW;4;1011.5;29.5;46;;WSW;22;1009.6
2024-01-9;18.0;29.1;0;;;SSW;52;16:35;23.7;49;;SSE;17;1012.4;28.3;47;;SSW;30;1010.4
2024-01-10;17.9;29.7;0;;;SW;39;15:38;22.6;48;;SSE;9;1013.8;27.3;53;;WSW;20;1010.5
2024-01-11;19.8;30.1;0;;;SE;39;22:20;23.3;53;;S;11;1010.4;27.5;55;;SW;22;1007.8
2024-01-12;19.4;37.5;0;;;ESE;37;07:14;24.9;54;;ESE;19;1010.6;36.4;30;;ESE;6;1006.4
2024-01-13;23.7;37.2;0;;;E;37;06:56;29.5;41;;ENE;15;1008.0;32.2;46;;WSW;20;1004.8
2024-01-14;24.7;36.0;0;;;E;31;22:01;25.8;80;;NW;6;1005.5;33.5;48;;WSW;13;1003.5
2024-01-15;23.8;32.3;0;;;NW;28;13:09;25.4;81;;NNW;19;1006.7;25.7;78;;NW;9;1004.9
2024-01-16;23.4;42.0;0;;;ENE;54;20:05;32.2;46;;E;9;1004.3;28.1;74;;NNW;31;1001.3
2024-01-17;23.5;28.5;0;;;NE;33;07:45;28.2;60;;N;15;1005.5;26.3;75;;WNW;20;1004.8
2024-01-18;21.6;26.3;0;;;W;35;13:09;23.8;60;;W;15;1008.4;25.6;55;;WSW;19;1008.4
2024-01-19;21.5;27.1;0;;;SW;37;15:54;23.3;61;;S;11;1010.0;25.6;59;;WSW;24;1008.5
2024-01-20;20.3;30.2;0;;;SW;35;16:16;25.6;54;;NNE;4;1009.9;30.1;52;;WSW;17;1008.3
2024-01-21;22.2;27.9;0;;;WSW;43;14:02;25.4;68;;SSW;15;1008.7;26.7;62;;WSW;24;1007.6
2024-01-22;17.3;27.9;0;;;SW;37;13:01;22.8;58;;SSE;11;1011.9;25.5;50;;SW;24;1010.6
2024-01-23;18.0;26.8;0;;;WSW;39;12:46;23.3;52;;S;13;1013.9;25.9;55;;WSW;22;1011.7
2024-01-24;18.0;27.3;0;;;S;48;21:28;22.7;53;;SSE;15;1014.6;25.9;51;;SW;20;1011.7
2024-01-25;17.0;27.0;0;;;SW;44;16:08;20.9;52;;SSE;19;1016.6;26.3;41;;SSW;24;1013.3
2024-01-26;16.8;29.0;0;;;SW;41;14:46;22.0;42;;ESE;17;1019.7;26.7;47;;SW;20;1015.3
2024-01-27;17.9;30.7;0;;;SW;33;16:15;24.6;40;;NE;11;1013.9;29.8;38;;WSW;15;1009.0
2024-01-28;18.3;27.3;0;;;S;41;22:08;21.6;66;;SSE;9;1012.0;26.8;52;;SW;17;1011.1
2024-01-29;16.6;26.9;0;;;S;43;17:35;22.2;48;;E;13;1018.0;26.1;45;;SW;20;1015.6
2024-01-30;17.4;34.7;0;;;ESE;33;06:57;25.6;32;;E;15;1018.7;32.4;30;;SSW;17;1015.2
2024-01-31;21.8;37.1;0;;;SW;30;13:38;30.5;35;;S;4;1016.1;35.5;25;;SW;19;1014.5
